tau_list track
0.00100 0.49158
0.02104 0.11343
0.04108 0.07453
0.06111 0.08555
0.08115 0.10612
0.10119 0.12856
0.12123 0.15116
0.14127 0.17350
0.16130 0.19549
0.18134 0.21707
0.20138 0.23826
0.22142 0.25906
0.24146 0.27946
0.26149 0.29946
0.28153 0.31908
0.30157 0.33832
0.32161 0.35719
0.34165 0.37568
0.36169 0.39381
0.38172 0.41157
0.40176 0.42898
0.42180 0.44603
0.44184 0.46274
0.46188 0.47911
0.48191 0.49513
0.50195 0.51083
0.52199 0.52619
0.54203 0.54123
0.56207 0.55595
0.58210 0.57036
0.60214 0.58445
0.62218 0.59825
0.64222 0.61173
0.66226 0.62493
0.68229 0.63783
0.70233 0.65044
0.72237 0.66277
0.74241 0.67482
0.76245 0.68660
0.78248 0.69810
0.80252 0.70934
0.82256 0.72032
0.84260 0.73104
0.86264 0.74151
0.88268 0.75173
0.90271 0.76170
0.92275 0.77143
0.94279 0.78093
0.96283 0.79019
0.98287 0.79922
1.00290 0.80802
1.02294 0.81661
1.04298 0.82497
1.06302 0.83312
1.08306 0.84106
1.10309 0.84879
1.12313 0.85632
1.14317 0.86365
1.16321 0.87078
1.18325 0.87772
1.20328 0.88447
1.22332 0.89103
1.24336 0.89741
1.26340 0.90361
1.28344 0.90964
1.30347 0.91549
1.32351 0.92117
1.34355 0.92668
1.36359 0.93202
1.38363 0.93721
1.40367 0.94224
1.42370 0.94711
1.44374 0.95183
1.46378 0.95640
1.48382 0.96083
1.50386 0.96510
1.52389 0.96924
1.54393 0.97324
1.56397 0.97710
1.58401 0.98083
1.60405 0.98443
1.62408 0.98790
1.64412 0.99124
1.66416 0.99446
1.68420 0.99756
1.70424 1.00054
1.72427 1.00340
1.74431 1.00615
1.76435 1.00879
1.78439 1.01131
1.80443 1.01373
1.82446 1.01604
1.84450 1.01825
1.86454 1.02036
1.88458 1.02237
1.90462 1.02427
1.92466 1.02609
1.94469 1.02781
1.96473 1.02944
1.98477 1.03098
2.00481 1.03243
2.02485 1.03380
2.04488 1.03507
2.06492 1.03627
2.08496 1.03739
2.10500 1.03843
2.12504 1.03938
2.14507 1.04027
2.16511 1.04108
2.18515 1.04181
2.20519 1.04247
2.22523 1.04307
2.24526 1.04360
2.26530 1.04405
2.28534 1.04445
2.30538 1.04477
2.32542 1.04504
2.34545 1.04524
2.36549 1.04539
2.38553 1.04547
2.40557 1.04550
2.42561 1.04547
2.44565 1.04539
2.46568 1.04525
2.48572 1.04506
2.50576 1.04482
2.52580 1.04452
2.54584 1.04418
2.56587 1.04379
2.58591 1.04336
2.60595 1.04287
2.62599 1.04235
2.64603 1.04177
2.66606 1.04116
2.68610 1.04050
2.70614 1.03980
2.72618 1.03907
2.74622 1.03829
2.76625 1.03748
2.78629 1.03662
2.80633 1.03574
2.82637 1.03481
2.84641 1.03385
2.86644 1.03286
2.88648 1.03183
2.90652 1.03077
2.92656 1.02969
2.94660 1.02857
2.96664 1.02741
2.98667 1.02624
3.00671 1.02503
3.02675 1.02379
3.04679 1.02253
3.06683 1.02124
3.08686 1.01993
3.10690 1.01859
3.12694 1.01722
3.14698 1.01583
3.16702 1.01442
3.18705 1.01299
3.20709 1.01154
3.22713 1.01006
