tau_list track
0.02000 0.03642
0.04000 0.13167
0.06000 0.19858
0.08000 0.24359
0.10000 0.27710
0.12000 0.30490
0.14000 0.32979
0.16000 0.35309
0.18000 0.37543
0.20000 0.39711
0.22000 0.41826
0.24000 0.43896
0.26000 0.45923
0.28000 0.47910
0.30000 0.49858
0.32000 0.51768
0.34000 0.53640
0.36000 0.55476
0.38000 0.57275
0.40000 0.59039
0.42000 0.60767
0.44000 0.62460
0.46000 0.64118
0.48000 0.65743
0.50000 0.67334
0.52000 0.68893
0.54000 0.70418
0.56000 0.71912
0.58000 0.73373
0.60000 0.74804
0.62000 0.76204
0.64000 0.77574
0.66000 0.78914
0.68000 0.80224
0.70000 0.81506
0.72000 0.82759
0.74000 0.83985
0.76000 0.85182
0.78000 0.86353
0.80000 0.87496
0.82000 0.88614
0.84000 0.89705
0.86000 0.90771
0.88000 0.91812
0.90000 0.92828
0.92000 0.93820
0.94000 0.94788
0.96000 0.95733
0.98000 0.96654
1.00000 0.97552
1.02000 0.98429
1.04000 0.99283
1.06000 1.00116
1.08000 1.00928
1.10000 1.01719
1.12000 1.02489
1.14000 1.03239
1.16000 1.03970
1.18000 1.04680
1.20000 1.05372
1.22000 1.06045
1.24000 1.06700
1.26000 1.07336
1.28000 1.07955
1.30000 1.08556
1.32000 1.09140
1.34000 1.09707
1.36000 1.10258
1.38000 1.10792
1.40000 1.11311
1.42000 1.11814
1.44000 1.12301
1.46000 1.12774
1.48000 1.13231
1.50000 1.13674
1.52000 1.14102
1.54000 1.14517
1.56000 1.14918
1.58000 1.15306
1.60000 1.15680
1.62000 1.16041
1.64000 1.16390
1.66000 1.16726
1.68000 1.17050
1.70000 1.17361
1.72000 1.17662
1.74000 1.17950
1.76000 1.18227
1.78000 1.18493
1.80000 1.18749
1.82000 1.18993
1.84000 1.19227
1.86000 1.19451
1.88000 1.19664
1.90000 1.19868
1.92000 1.20062
1.94000 1.20247
1.96000 1.20423
1.98000 1.20589
2.00000 1.20747
2.02000 1.20895
2.04000 1.21036
2.06000 1.21167
2.08000 1.21291
2.10000 1.21407
2.12000 1.21514
2.14000 1.21615
2.16000 1.21707
2.18000 1.21792
2.20000 1.21870
2.22000 1.21940
2.24000 1.22004
2.26000 1.22061
2.28000 1.22112
2.30000 1.22155
2.32000 1.22193
2.34000 1.22224
2.36000 1.22249
2.38000 1.22268
2.40000 1.22282
2.42000 1.22289
2.44000 1.22292
2.46000 1.22288
2.48000 1.22279
2.50000 1.22265
2.52000 1.22246
2.54000 1.22222
2.56000 1.22193
2.58000 1.22159
2.60000 1.22121
2.62000 1.22078
2.64000 1.22030
2.66000 1.21978
2.68000 1.21922
2.70000 1.21862
2.72000 1.21797
2.74000 1.21729
2.76000 1.21656
2.78000 1.21580
2.80000 1.21501
2.82000 1.21417
2.84000 1.21330
2.86000 1.21240
2.88000 1.21146
2.90000 1.21049
2.92000 1.20949
2.94000 1.20845
2.96000 1.20739
2.98000 1.20629
3.00000 1.20517
3.02000 1.20402
3.04000 1.20284
3.06000 1.20163
3.08000 1.20040
3.10000 1.19914
3.12000 1.19786
3.14000 1.19655
3.16000 1.19521
3.18000 1.19386
3.20000 1.19248
3.22000 1.19109
3.24000 1.18966
3.26000 1.18822
3.28000 1.18676
3.30000 1.18528
3.32000 1.18378
3.34000 1.18226
3.36000 1.18072
3.38000 1.17917
3.40000 1.17760
3.42000 1.17601
3.44000 1.17440
3.46000 1.17278
3.48000 1.17115
3.50000 1.16950
3.52000 1.16783
3.54000 1.16616
3.56000 1.16446
3.58000 1.16276
3.60000 1.16104
3.62000 1.15931
3.64000 1.15757
3.66000 1.15582
3.68000 1.15405
3.70000 1.15228
3.72000 1.15049
3.74000 1.14870
3.76000 1.14689
3.78000 1.14508
3.80000 1.14325
3.82000 1.14142
3.84000 1.13958
3.86000 1.13773
3.88000 1.13588
3.90000 1.13401
3.92000 1.13214
3.94000 1.13027
3.96000 1.12838
3.98000 1.12649
4.00000 1.12460
4.02000 1.12269
4.04000 1.12078
4.06000 1.11887
4.08000 1.11695
4.10000 1.11503
4.12000 1.11310
4.14000 1.11117
4.16000 1.10923
4.18000 1.10729
4.20000 1.10535
4.22000 1.10340
4.24000 1.10145
4.26000 1.09950
4.28000 1.09754
4.30000 1.09558
4.32000 1.09362
4.34000 1.09166
4.36000 1.08969
4.38000 1.08772
4.40000 1.08575
4.42000 1.08378
4.44000 1.08181
4.46000 1.07984
4.48000 1.07786
4.50000 1.07589
4.52000 1.07391
4.54000 1.07193
4.56000 1.06996
4.58000 1.06798
4.60000 1.06600
4.62000 1.06402
4.64000 1.06205
4.66000 1.06007
4.68000 1.05809
4.70000 1.05611
4.72000 1.05414
4.74000 1.05216
4.76000 1.05019
4.78000 1.04821
4.80000 1.04624
4.82000 1.04427
4.84000 1.04230
4.86000 1.04033
4.88000 1.03837
4.90000 1.03640
4.92000 1.03443
4.94000 1.03247
4.96000 1.03051
4.98000 1.02855
5.00000 1.02660
5.02000 1.02464
5.04000 1.02269
5.06000 1.02074
5.08000 1.01880
5.10000 1.01685
5.12000 1.01491
5.14000 1.01297
5.16000 1.01103
5.18000 1.00910
5.20000 1.00717
5.22000 1.00524
5.24000 1.00331
5.26000 1.00139
5.28000 0.99947
5.30000 0.99756
5.32000 0.99564
5.34000 0.99373
5.36000 0.99183
5.38000 0.98992
5.40000 0.98802
5.42000 0.98613
5.44000 0.98423
5.46000 0.98234
5.48000 0.98046
5.50000 0.97858
5.52000 0.97670
5.54000 0.97483
5.56000 0.97296
5.58000 0.97109
5.60000 0.96923
5.62000 0.96737
5.64000 0.96551
5.66000 0.96366
5.68000 0.96181
5.70000 0.95997
5.72000 0.95813
5.74000 0.95630
5.76000 0.95446
5.78000 0.95264
5.80000 0.95082
5.82000 0.94900
5.84000 0.94718
5.86000 0.94537
5.88000 0.94357
5.90000 0.94177
5.92000 0.93997
5.94000 0.93818
5.96000 0.93639
5.98000 0.93461
6.00000 0.93283
6.02000 0.93105
6.04000 0.92928
6.06000 0.92752
6.08000 0.92576
6.10000 0.92400
6.12000 0.92225
6.14000 0.92050
6.16000 0.91876
6.18000 0.91702
6.20000 0.91529
6.22000 0.91356
6.24000 0.91183
6.26000 0.91011
6.28000 0.90840
6.30000 0.90669
6.32000 0.90498
6.34000 0.90328
6.36000 0.90158
6.38000 0.89989
6.40000 0.89820
6.42000 0.89652
6.44000 0.89484
6.46000 0.89317
6.48000 0.89150
6.50000 0.88984
6.52000 0.88818
6.54000 0.88653
6.56000 0.88488
6.58000 0.88323
6.60000 0.88159
6.62000 0.87996
6.64000 0.87833
6.66000 0.87670
6.68000 0.87508
6.70000 0.87347
6.72000 0.87185
6.74000 0.87025
6.76000 0.86864
6.78000 0.86705
6.80000 0.86545
6.82000 0.86386
6.84000 0.86228
6.86000 0.86070
6.88000 0.85913
6.90000 0.85756
6.92000 0.85600
6.94000 0.85444
6.96000 0.85288
6.98000 0.85133
7.00000 0.84979
7.02000 0.84825
7.04000 0.84671
7.06000 0.84518
7.08000 0.84365
7.10000 0.84213
7.12000 0.84062
7.14000 0.83910
7.16000 0.83760
7.18000 0.83609
7.20000 0.83459
7.22000 0.83310
7.24000 0.83161
7.26000 0.83013
7.28000 0.82865
7.30000 0.82717
7.32000 0.82570
7.34000 0.82424
7.36000 0.82278
7.38000 0.82132
7.40000 0.81986
7.42000 0.81842
7.44000 0.81697
7.46000 0.81554
7.48000 0.81410
7.50000 0.81267
7.52000 0.81125
7.54000 0.80983
7.56000 0.80841
7.58000 0.80700
7.60000 0.80559
7.62000 0.80419
7.64000 0.80279
7.66000 0.80140
7.68000 0.80001
7.70000 0.79863
7.72000 0.79725
7.74000 0.79587
7.76000 0.79450
7.78000 0.79313
7.80000 0.79177
7.82000 0.79041
7.84000 0.78906
7.86000 0.78771
7.88000 0.78636
7.90000 0.78502
7.92000 0.78369
7.94000 0.78235
7.96000 0.78102
7.98000 0.77970
8.00000 0.77838
8.02000 0.77707
8.04000 0.77576
8.06000 0.77445
8.08000 0.77315
8.10000 0.77185
8.12000 0.77056
8.14000 0.76927
8.16000 0.76798
8.18000 0.76670
8.20000 0.76543
8.22000 0.76415
8.24000 0.76288
8.26000 0.76162
8.28000 0.76036
8.30000 0.75910
8.32000 0.75785
8.34000 0.75660
8.36000 0.75536
8.38000 0.75411
8.40000 0.75288
8.42000 0.75165
8.44000 0.75042
8.46000 0.74919
8.48000 0.74797
8.50000 0.74676
8.52000 0.74554
8.54000 0.74434
8.56000 0.74313
8.58000 0.74193
8.60000 0.74074
8.62000 0.73954
8.64000 0.73835
8.66000 0.73717
8.68000 0.73599
8.70000 0.73481
8.72000 0.73364
8.74000 0.73247
8.76000 0.73130
8.78000 0.73014
8.80000 0.72898
8.82000 0.72783
8.84000 0.72668
8.86000 0.72553
8.88000 0.72439
8.90000 0.72325
8.92000 0.72211
8.94000 0.72098
8.96000 0.71985
8.98000 0.71873
9.00000 0.71761
9.02000 0.71649
9.04000 0.71538
9.06000 0.71427
9.08000 0.71316
9.10000 0.71206
9.12000 0.71096
9.14000 0.70986
9.16000 0.70877
9.18000 0.70768
9.20000 0.70660
9.22000 0.70552
9.24000 0.70444
9.26000 0.70337
9.28000 0.70229
9.30000 0.70123
